Title,Published_date,Likes,Views
"I Gave $200,000 To People Who Lost Their Jobs (Corona Virus)",2020-05-07,1404127,44398272
Videos I Could Not Upload...,2020-04-30,3710478,138274191
I Spent 24 Hours In A Doomsday Bunker,2020-04-11,3041472,182919268
"Giving $1,000,000 Of Food To People In Need",2020-03-27,1858394,54148201
I Ran A Marathon In The World's Largest Shoes,2020-03-21,3286001,142709884
"$70,000 Extreme Hide And Seek - Challenge",2020-03-13,2547022,126137484
Anything You Can Fit In The Circle I’ll Pay For,2020-03-07,4873162,253687189
"I Ate A $70,000 Golden Pizza",2020-02-29,4116570,227272354
"Lamborghini Race, Winner Keeps Lamborghini",2020-02-08,2557212,124791940
I Gave My Credit Card To Random People,2020-02-01,3810798,167533511
I Went Back To Boy Scouts For A Day,2020-01-25,2172638,111725446
"$60,000 Extreme Hide And Seek - Challenge",2020-01-17,2658212,143395792
"How I Gained 15,000,000 Subscribers In 1 Year",2020-01-03,895224,18829869
Important Youtube Announcement (please watch),2019-12-28,2445690,36082737
"Giving 10,000 Presents To Kids For Christmas",2019-12-23,2822068,62273855
"Spending $1,000,000 In 24 Hours",2019-12-21,4330485,168509642
"Last To Take Hand Off $1,000,000 Keeps It",2019-12-19,3252779,128876782
"Last To Stop Riding Bike Wins $1,000,000 (Part 4)",2019-12-14,1416601,60482918
"Last To Leave Toilet Wins $1,000,000 (Part 3)",2019-12-07,1802238,89371946
I Ordered Pizza And Tipped The House,2019-12-05,4124691,130221598
"Last to Stop Swinging Wins $1,000,000 (Part 2)",2019-11-30,2155790,117070595
"$50,000 Game Of Extreme Hide And Seek - Challenge",2019-11-28,2910830,144724693
I Opened A FREE BANK,2019-11-23,2760717,104623459
"Going Around A Ferris Wheel 1,000 Times Straight",2019-11-16,2354074,103934395
"Last To Fall Wins $1,000,000 (Part 1)",2019-11-14,2927711,144666950
Surviving 24 Hours Straight In The Bermuda Triangle,2019-11-09,3941680,208177819
"I Spent $100,000 On Lottery Tickets And Won!",2019-10-31,1261772,48270359
"Planting 20,000,000 Trees, My Biggest Project Ever!",2019-10-25,4345321,97119965
"Last To Take Hand Off Boat, Keeps It",2019-10-19,2013187,117994848
"I Searched 100 Dumpsters, Here's What I Found",2019-10-12,2648757,164774262
"Going Through The Same Drive Thru 1,000 Times",2019-10-05,4661806,241351854
"Donating $100,000 To Random Streamers",2019-09-28,1788967,59075846
Surviving 24 Hours Straight In A Rain Forest,2019-09-21,2444343,120445898
"Last To Leave Ramen Noodle Pool Wins $20,000",2019-09-13,1482397,68182797
"Anything You Can Carry, I'll Pay For #2",2019-09-06,1504402,68390960
"I Gave My Brother 24 Hours To Spend $100,000",2019-08-31,2356916,90931670
I Opened A Free Car Dealership,2019-08-29,3359657,131917348
"Last To Leave Pool Of $20,000 Keeps It",2019-08-24,3086310,160143846
Surviving 24 Hours On A Deserted Island,2019-08-22,3299880,174386200
"Last To Leave Roller Coaster Wins $20,000 - Challenge",2019-08-17,2860146,141424766
I Won Every Prize At A Theme Park,2019-08-15,2854950,159173673
Destroying My Friend's Car And Surprising Him With A New One,2019-08-10,2694102,103017311
I Spent 24 Hours Straight At Area 51,2019-08-02,3537089,149238727
"Can 50,000 Magnets Catch A Cannon Ball?",2019-07-20,2032213,110540912
World's Largest Game Of Dodgeball,2019-07-12,1561170,75509319
"Last To Leave Revolving Door Wins $50,000",2019-07-02,3414932,145101081
Tipping Waitresses With Real Gold Bars,2019-06-21,1768027,67539585
I Opened The World's First FREE Store,2019-06-15,2228229,82837684
Spending 24 Hours On Top Of A Mountain,2019-06-13,3399073,171377452
"Last To Leave VR Wins $20,000",2019-06-08,3024437,142437675
"Last To Stop Running Wins $20,000",2019-06-06,2227036,108281961
"Paying People $10,000 To Eat Ghost Pepper",2019-06-01,1120884,40028819
24 Hours In The Most Haunted Place On Earth,2019-05-30,2762733,117193160
I Bought Everything In A Store - Challenge,2019-05-18,4156292,143970654
World's Largest Bowl Of Cereal,2019-05-15,2870031,178473465
Spending 24 Hours In A City With No Laws,2019-05-07,2669168,149399868
"Giving $10,000 To Random People And Saying Nothing",2019-04-30,1738351,74304563
Molten Lava Vs Giant Ice Block Experiment,2019-04-27,1791532,91780773
"Anything You Can Carry, I'll Pay For Challenge",2019-04-20,1721890,86804216
Homeless Man Buys A Lamborghini,2019-04-18,3719780,149755613
Playing Battleship With Real Ships,2019-04-06,1009827,37426924
